"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.893047692E0,5.450000167E-1,-7.469999790E-1,9.739000320E0,9.782799253E0
2.903060923E0,4.300000072E-1,-6.219999790E-1,9.835000038E0,9.864026041E0
2.913050385E0,4.880000055E-1,-6.890000105E-1,9.940999985E0,9.976790351E0
2.923055000E0,4.300000072E-1,-7.559999824E-1,9.682000160E0,9.720985705E0
2.933069923E0,5.070000291E-1,-7.469999790E-1,9.826000214E0,9.867387607E0
2.943051000E0,5.360000134E-1,-7.179999948E-1,9.911999702E0,9.952414687E0
2.953067308E0,5.740000010E-1,-6.990000010E-1,9.767999649E0,9.809785632E0
2.963050461E0,6.219999790E-1,-5.839999914E-1,9.720000267E0,9.757373886E0
2.973056077E0,5.550000072E-1,-7.080000043E-1,9.892999649E0,9.933817548E0
2.983510538E0,4.020000100E-1,-7.369999886E-1,9.930999756E0,9.966420077E0
2.993062308E0,4.020000100E-1,-5.740000010E-1,9.701000214E0,9.726278073E0
3.003051154E0,5.929999948E-1,-6.320000291E-1,9.307999611E0,9.348258115E0
3.013050461E0,5.170000196E-1,-7.179999948E-1,9.998000145E0,1.003707228E1
3.023067923E0,3.729999959E-1,-8.420000076E-1,1.050599957E1,1.054628465E1
3.033061538E0,1.809999943E-1,-8.809999824E-1,1.042899990E1,1.046771039E1
3.043064615E0,4.880000055E-1,-8.230000138E-1,1.001700020E1,1.006259241E1
3.053059461E0,4.210000038E-1,-8.330000043E-1,1.016100025E1,1.020377656E1
3.063054846E0,4.499999881E-1,-8.230000138E-1,9.807000160E0,9.851755232E0
3.073073077E0,6.219999790E-1,-5.450000167E-1,9.279999733E0,9.316775410E0
3.083050461E0,6.790000200E-1,-8.040000200E-1,8.954000473E0,9.015629847E0
3.093050846E0,4.979999959E-1,-8.420000076E-1,9.663000107E0,9.712391007E0
3.109617692E0,4.779999852E-1,-7.469999790E-1,9.519000053E0,9.560222538E0
3.113049461E0,4.779999852E-1,-7.469999790E-1,9.519000053E0,9.560222538E0
